Disease Name	MONDO CODES
Recurrent Respiratory Papillomatosis	MONDO:0018955
Lafora Disease	MONDO:0009697
Stiff Person Syndrome	MONDO:0008491
TBCK Syndrome   	MONDO:0014823
Shwachman-Diamond Syndrome	MONDO:0009833
Tatton Brown Rahman Syndrome	MONDO:0014382
Smith-Kingsmore syndrome	MONDO:0014716
VCP disease 	MONDO:0018006
Dyskeratosis congenita	MONDO:0015780
Telomere biology disorders	MONDO:0100137
Craniopharyngioma	MONDO:0018907		
PACS1 syndrome	MONDO:0014006
CACNA1A-related disorders	MONDO:0014917		
Progressive Familial Intrahepatic Cholestasis	MONDO:0015762
Nemaline Myopathy	MONDO:0018958		
LBSL	MONDO:0012622
Hereditary pancreatitis	MONDO:0008185
Cerebral cavernous malformation	MONDO:0000820
Primary Ciliary Dyskinesia	MONDO:0016575
SCN2A-related disorders	MONDO:0011904,MONDO:0013388
Sarcoidosis	MONDO:0019338
